code,name
XR52,Beta Team
TEAM1,The Hackers
A1B2,Front Row Legends
NOVA7,Crimson Comets
RUSH9,Pixel Pirates
PXL88,Neon Ninjas
BOLT4,Quantum Quokkas
QWIN3,Rapid Raptors
VYBE2,Midnight Meteors
KITE6,Golden Griffins
HYPE5,Silver Sparks
ZENO1,Thunder Tacticians
MINT8,Echo Engineers
FURY0,Cobalt Cyclones
LUMA4,Orbit Owls
RIFT2,Stealth Strikers
TIDE9,Turbo Titans
ALFA6,Byte Bandits
BRAV4,Glitch Guardians
CROW7,Storm Seekers
DRGN5,Trailblaze Tribe
ECHO3,Victory Vortex
FLUX8,Nova Nomads
GLID1,Phantom Phoenix
HEXA9,Code Crushers
IRON2,Rocket Rhinos
JOLT6,Pulse Predators
KILO4,Dynamic Deltas
LYNX7,Silent Sabers
MARS5,Legend League
NEXA3,Sharp Shooters
ONYX8,Blaze Battalion
PICO1,Alpha Arrows
QUAD9,Prime Panthers
ROCK2,Falcon Force
SPIN6,Orbit Outlaws
TRON4,Metro Mavericks
ULTR7,Cyber Crusaders
VOLT5,Astro Aces
WAVE3,Summit Squad
XENO8,Bravo Brigade
YARN1,Frontline Fusion
ZEST9,Core Collective
ACE2,Omega Operators
BLAZ6,Iron Invincibles
CLIK4,Rising Rivals
DASH7,Vertex Voyagers
EDGE5,Zenith Zephyrs
FIRE3,Stellar Sparks
GEAR8,Urban Unicorns
